ID,Region ID,Created Date,Language,Role,Status
121371,544,2020-11-21,ua,manager,deleted
121374,866,2019-07-18,en,finance,deleted
121376,571,2019-09-02,ua,manager,deleted
121378,265,2021-05-27,en,finance,active
121380,105,2021-05-07,de,finance,deleted
121382,341,2021-12-23,it,master,awaiting_confirmation
121385,67,2019-06-16,de,manager,active
121387,172,2020-06-09,de,manager,deleted
121390,1197,2019-10-07,fr,finance,deleted
121391,1331,2019-02-07,se,manager,deleted
121394,1217,2020-12-23,se,manager,active
121395,669,2019-04-01,ua,manager,active
121397,219,2021-02-04,ru,finance,deleted
121398,1239,2021-08-17,se,manager,deleted
121399,920,2021-12-07,en,master,awaiting_confirmation
121401,948,2020-09-10,en,finance,deleted
121402,590,2021-11-24,ua,master,active
121403,1257,2020-12-02,se,finance,active
121404,83,2020-09-30,de,finance,active
121405,688,2019-04-04,en,master,deleted
121407,1344,2021-08-19,se,master,active
121410,133,2019-10-02,de,manager,deleted
121413,438,2019-11-04,es,master,deleted
121414,603,2019-10-11,ua,master,deleted
121417,757,2021-02-15,en,manager,deleted
121418,43,2020-04-08,de,master,active
121420,804,2020-03-29,en,manager,active
121421,1094,2020-11-27,fr,finance,deleted
121424,775,2020-11-11,en,finance,active
121426,299,2021-11-06,en,manager,active
121428,1125,2019-10-16,fr,finance,deleted
121429,1397,2020-05-12,no,master,active
121432,373,2020-11-11,it,finance,deleted
121435,561,2021-11-13,ua,manager,deleted
121437,628,2020-11-08,ua,master,active
121438,1411,2021-04-06,no,finance,deleted
121439,555,2021-06-30,ua,master,deleted
121441,891,2020-11-01,en,finance,active
121442,872,2020-02-15,en,finance,active
121443,431,2020-03-29,es,finance,active
121445,1405,2021-04-01,no,master,deleted
121447,712,2020-06-11,en,manager,active
121449,1114,2021-07-15,fr,master,active
121452,143,2019-05-26,de,manager,deleted
121455,710,2020-01-23,en,master,active
121457,435,2021-06-08,es,manager,active
121458,624,2020-12-12,ua,manager,deleted
121461,156,2021-06-02,de,master,active
121462,137,2021-05-27,de,finance,active
121464,1328,2019-09-07,se,master,deleted
121467,1376,2020-08-02,no,finance,deleted
121469,83,2019-11-28,de,finance,deleted
121470,245,2019-01-12,ru,master,deleted
121473,561,2021-07-11,ua,finance,deleted
121475,1451,2019-10-13,no,finance,deleted
121476,834,2019-11-07,en,master,active
121477,159,2020-08-22,de,finance,active
121478,83,2020-08-11,de,manager,active
121481,898,2020-12-10,ru,master,deleted
121484,1300,2020-10-29,se,master,deleted
121486,235,2020-10-01,ru,master,active
121489,1319,2020-07-25,se,finance,deleted
121490,603,2021-02-04,ua,finance,active
121493,963,2021-02-09,en,manager,deleted
121495,1449,2021-09-12,ru,manager,active
121498,76,2020-04-03,de,master,active
121500,808,2021-10-09,en,manager,deleted
121502,526,2019-01-27,ua,finance,deleted
121505,624,2020-10-19,ua,master,deleted
121506,721,2020-10-15,en,finance,deleted
121507,395,2020-07-25,it,master,active
121508,533,2021-02-24,ua,manager,deleted
121510,198,2020-09-19,ru,master,deleted
121511,366,2021-08-08,it,master,active
121514,51,2019-04-15,de,manager,active
121515,1149,2021-07-14,fr,master,deleted
121517,83,2021-09-15,de,master,deleted
121518,628,2020-03-10,ua,master,active
121519,276,2021-01-09,en,finance,active
121522,87,2021-03-21,de,master,active
121525,667,2021-12-14,ua,finance,awaiting_confirmation
121526,1391,2021-12-24,no,master,awaiting_confirmation
121529,763,2021-09-08,en,manager,deleted
121532,605,2019-07-26,ua,master,deleted
121533,180,2020-01-07,ru,finance,active
121535,1087,2021-04-18,fr,manager,active
121537,1342,2021-03-14,se,finance,deleted
121538,895,2020-05-09,en,master,deleted
121540,392,2021-03-31,it,finance,deleted
121542,1391,2021-10-14,no,manager,active
121545,259,2019-07-28,en,master,deleted
121547,1331,2019-07-11,se,master,active
121549,715,2019-08-27,en,manager,deleted
121552,1449,2019-02-12,no,manager,deleted
121554,1351,2020-04-20,no,manager,deleted
121556,948,2021-09-19,en,manager,active
121559,1393,2021-12-31,no,finance,awaiting_confirmation
121560,804,2020-01-08,en,manager,deleted
121561,816,2019-12-30,en,manager,active
121564,1060,2021-11-04,en,master,deleted
121567,1261,2020-07-19,se,finance,deleted
121568,253,2021-07-15,en,finance,deleted
121569,766,2019-05-04,en,master,deleted
121570,34,2019-10-04,de,finance,deleted
121572,555,2019-03-14,ua,finance,active
121573,383,2020-01-12,it,finance,active
121576,923,2021-11-16,en,manager,active
121578,414,2020-12-21,es,manager,active
121579,752,2019-02-23,en,finance,deleted
121581,512,2020-10-24,ua,manager,active
121582,1239,2020-06-27,se,finance,deleted
121585,810,2020-04-12,en,master,active
121586,688,2021-07-21,en,finance,deleted
121587,1439,2019-07-21,no,finance,active
121588,124,2020-08-03,de,manager,active
121590,593,2020-07-31,ua,finance,deleted
121591,483,2020-06-29,ua,manager,active
121593,1060,2020-11-15,en,manager,active
121595,201,2020-06-07,ru,finance,deleted
121596,15,2020-06-19,de,finance,deleted
121598,972,2021-05-02,en,finance,deleted
121599,662,2020-12-26,ua,manager,deleted
121601,170,2021-02-17,de,manager,active
121604,718,2020-07-17,en,manager,active
121606,1261,2021-04-15,se,master,deleted
121609,272,2019-02-18,en,finance,deleted
121610,1273,2021-04-05,se,master,active
121613,395,2020-07-04,ru,manager,active
121616,785,2021-02-20,en,manager,active
121618,1254,2021-12-06,se,master,awaiting_confirmation
121621,1295,2021-12-16,se,manager,awaiting_confirmation
121624,705,2021-11-11,en,finance,deleted
121627,1133,2020-07-02,fr,manager,active
121630,868,2021-08-07,en,manager,deleted
121631,353,2019-11-03,it,master,deleted
121634,1283,2021-10-25,se,master,deleted
121636,1081,2020-10-07,fr,master,deleted
121638,127,2020-04-26,de,finance,deleted
121641,969,2019-03-30,en,manager,active
121642,1433,2021-04-07,no,finance,deleted
121643,315,2020-02-22,en,master,deleted
121645,836,2019-01-03,en,manager,deleted
121648,563,2021-11-11,ua,manager,deleted
121650,81,2019-05-25,de,master,active
121653,944,2019-11-21,en,finance,active
121654,30,2020-03-18,de,finance,active
121656,1096,2019-09-01,fr,master,deleted
121658,1342,2020-12-06,se,master,deleted
121659,180,2021-03-14,ru,master,deleted
121662,944,2021-08-02,en,manager,active
121665,490,2020-05-09,ua,master,active
121666,1304,2021-12-15,se,master,awaiting_confirmation
121667,315,2019-04-10,en,master,deleted
121669,3,2019-12-09,de,manager,deleted
121671,1261,2020-01-27,se,manager,deleted
121674,1283,2019-01-15,se,finance,active
121676,325,2019-11-10,en,finance,deleted
121679,1293,2021-06-21,se,manager,deleted
121681,849,2021-08-29,en,finance,deleted
121684,392,2019-11-13,it,manager,deleted
121685,861,2020-08-17,en,master,active
121686,185,2021-08-19,ru,finance,deleted
121688,565,2021-07-26,ua,master,active
121689,182,2019-01-20,ru,finance,deleted
121690,504,2021-04-07,ua,master,active
121692,649,2019-05-28,ua,finance,deleted
121694,500,2020-07-04,ua,finance,deleted
121697,761,2021-05-07,en,master,deleted
121700,876,2021-09-28,en,master,deleted
121703,608,2019-09-10,ua,manager,deleted
121706,708,2021-08-09,en,manager,active
121708,1040,2019-02-20,en,master,active
121709,512,2020-10-05,ua,finance,active
121712,1163,2021-11-05,fr,manager,active
121715,387,2020-07-18,it,finance,active
121717,39,2019-10-26,de,manager,active
121718,755,2020-07-28,en,manager,deleted
121719,122,2020-04-05,de,master,active
121722,91,2021-11-17,de,finance,deleted
121725,272,2020-06-26,en,finance,active
121727,343,2021-11-13,it,manager,active
121728,605,2021-10-07,ua,manager,deleted
121729,350,2020-05-07,en,finance,active
121732,312,2021-10-15,en,master,active
121733,906,2019-11-01,en,finance,deleted
121735,410,2020-06-18,es,manager,deleted
121736,1429,2021-01-15,no,finance,active
121737,1025,2020-11-20,en,manager,deleted
121739,1308,2021-06-09,se,manager,deleted
121740,844,2020-07-25,en,finance,active
121741,219,2019-01-07,ru,master,active
121742,1084,2020-10-26,fr,master,active
121745,39,2019-10-28,de,finance,active
121747,773,2021-03-16,en,finance,deleted
121750,1116,2019-09-16,fr,master,active
121753,852,2020-05-15,ua,manager,deleted
121754,1411,2021-08-14,ru,master,active
121755,312,2020-08-08,en,finance,deleted
121756,371,2020-03-23,it,master,deleted
121757,55,2020-10-18,de,manager,active
121760,883,2021-09-06,en,manager,deleted
121763,102,2020-09-12,de,finance,active
121764,1177,2020-12-24,fr,manager,deleted
121766,1087,2021-11-07,en,finance,deleted
121767,162,2019-01-13,de,manager,active
121769,852,2020-09-09,en,finance,deleted
121770,289,2019-01-23,en,master,deleted
121773,154,2021-12-17,de,finance,awaiting_confirmation
121774,1233,2019-06-13,se,finance,deleted
121775,1006,2021-05-10,en,master,deleted
121776,628,2019-11-27,ua,finance,deleted
121777,963,2019-08-19,en,manager,active
121778,69,2021-12-15,de,manager,awaiting_confirmation
121779,341,2019-05-18,it,finance,deleted
121780,1283,2020-10-26,se,finance,active
121783,688,2019-07-06,ua,master,deleted
121785,611,2019-08-14,ua,manager,active
121788,866,2019-10-09,en,finance,active
121790,196,2020-10-11,ru,master,active
121793,81,2021-01-04,de,finance,deleted
121795,677,2020-09-09,en,finance,deleted
121796,1087,2021-06-17,fr,master,active
121797,810,2021-08-16,en,finance,deleted
121799,219,2020-12-16,en,master,active
121802,1319,2020-08-26,se,manager,deleted
121803,912,2019-07-23,en,master,deleted
121806,553,2019-08-28,ua,finance,deleted
121809,1060,2019-08-09,en,master,deleted
121811,431,2020-09-07,es,master,active
121813,553,2019-04-19,ua,finance,active
121814,39,2021-09-12,de,finance,deleted
121815,460,2020-12-15,ua,master,deleted
121817,1165,2021-06-30,ua,manager,active
121818,170,2021-02-20,de,master,active
121820,1211,2019-03-04,se,master,active
121822,1413,2021-01-11,no,master,deleted
121825,857,2020-11-02,en,manager,active
121828,757,2021-11-11,en,manager,deleted
121831,781,2021-02-16,en,manager,deleted
121832,315,2021-06-16,en,manager,deleted
121835,1203,2019-06-20,fr,manager,deleted
121837,969,2021-03-04,en,manager,deleted
121839,927,2019-08-05,en,manager,active
121842,941,2021-12-03,en,finance,awaiting_confirmation
121843,1233,2020-02-11,se,manager,active
121845,992,2021-03-27,en,manager,active
121848,209,2021-06-29,ru,finance,deleted
121850,1297,2020-05-13,se,manager,deleted
121853,1015,2021-11-19,en,master,active
121856,259,2020-12-12,en,finance,deleted
121859,1047,2019-09-14,en,master,deleted
121860,553,2019-10-17,ua,manager,deleted
121861,307,2019-10-03,en,master,deleted
121863,967,2019-03-01,en,finance,deleted
121866,519,2020-04-18,ua,master,deleted
121867,1189,2019-01-13,fr,finance,active
121868,192,2019-06-05,ru,master,deleted
121869,486,2021-11-02,ua,master,active
121871,742,2021-09-20,en,master,active
121872,379,2020-06-07,it,manager,active
121875,553,2021-11-26,ua,master,active
121876,263,2020-06-06,en,master,deleted
121879,866,2019-05-10,en,finance,active
121882,963,2021-06-30,en,manager,active
121885,1416,2019-06-29,no,manager,deleted
121887,1001,2019-07-08,en,master,active
121890,768,2021-10-09,en,master,active
121893,967,2021-04-15,en,finance,deleted
121896,1397,2019-05-15,no,manager,deleted
121898,21,2019-04-03,de,finance,deleted
121899,794,2021-02-08,en,manager,deleted
121902,930,2020-01-31,en,manager,deleted
121905,946,2020-12-22,en,finance,active
121907,15,2020-03-15,de,master,deleted
121908,23,2021-08-24,ua,finance,active
121911,390,2019-01-08,it,finance,deleted
121912,285,2020-10-19,en,finance,deleted
121913,1405,2020-10-02,no,manager,deleted
121914,488,2019-07-19,ua,master,deleted
121916,533,2021-09-13,ua,manager,deleted
121919,603,2019-02-10,ua,master,active
121921,763,2020-05-17,en,manager,deleted
121924,723,2019-07-04,ua,manager,deleted
121927,1125,2020-05-31,fr,manager,deleted
121928,1129,2021-05-05,fr,manager,active
121931,1319,2020-02-25,se,finance,deleted
121934,453,2021-11-08,es,master,active
121937,1275,2020-10-07,se,master,active
121938,490,2019-06-14,en,finance,deleted
121939,740,2019-08-07,en,master,active
121941,112,2021-10-10,de,manager,active
121942,1090,2020-10-16,fr,manager,active
121944,1071,2021-03-28,fr,finance,active
121946,828,2020-10-20,en,manager,deleted
121949,718,2019-06-09,en,master,deleted
121952,656,2020-11-21,ua,finance,active
121954,878,2021-04-15,ru,finance,deleted
121957,185,2021-05-06,ru,manager,active
121959,279,2021-04-15,en,master,deleted
121960,836,2020-02-05,en,master,deleted
121963,379,2021-06-05,it,finance,deleted
121965,540,2021-05-14,ua,manager,active
121968,1028,2019-04-13,en,manager,deleted
121971,930,2019-12-18,en,manager,active
121973,1105,2021-11-08,fr,manager,active
121976,1351,2020-05-16,no,master,deleted
121977,231,2021-06-30,ru,master,active
121980,109,2020-05-20,de,master,deleted
121981,1281,2021-05-18,se,manager,active
121982,379,2021-12-26,it,master,awaiting_confirmation
121983,1273,2021-11-16,en,manager,deleted
121985,957,2019-08-06,en,master,deleted
121986,206,2019-11-21,ru,finance,deleted
121987,1367,2021-11-18,no,finance,active
121988,333,2019-10-25,it,master,active
121991,808,2020-05-21,en,finance,deleted
121992,1163,2020-08-12,fr,finance,active
121995,57,2021-11-23,de,finance,active
121998,1180,2019-01-20,fr,master,deleted
122000,1056,2019-07-01,en,manager,active
122001,599,2021-11-06,ua,manager,deleted
122004,21,2019-10-13,de,manager,deleted
122006,1416,2019-06-04,no,master,deleted
122008,963,2019-01-20,en,manager,deleted
122011,1163,2021-01-30,fr,manager,deleted
122012,515,2020-03-07,ua,master,active
122013,1096,2021-09-15,fr,manager,active
122016,67,2021-10-10,de,finance,deleted
122017,1136,2019-04-04,fr,manager,deleted
122018,1285,2020-06-14,se,manager,active
122019,429,2019-01-09,es,master,deleted
122021,870,2019-04-29,en,manager,active
122024,333,2020-01-02,it,manager,active
122025,272,2020-10-21,en,master,active
122028,812,2020-06-28,en,master,deleted
122030,1397,2020-09-22,no,finance,deleted
122032,97,2021-02-11,de,manager,deleted
122034,705,2021-08-26,en,finance,active
122036,1431,2021-06-13,no,finance,deleted
122039,1081,2019-07-21,fr,master,deleted
122040,292,2021-10-27,en,manager,deleted
122042,1103,2021-04-27,fr,manager,active
122045,39,2019-07-12,de,finance,deleted
122046,285,2019-10-07,en,master,deleted
122048,1012,2019-02-28,en,finance,active
122051,1060,2020-11-27,en,manager,active
122053,540,2019-09-15,ua,manager,active
122054,216,2019-09-24,ru,master,active
122056,898,2019-09-02,en,finance,deleted
122058,1391,2021-10-20,no,finance,active
122060,876,2021-08-01,en,manager,deleted
122061,677,2021-06-14,en,finance,active
122062,1043,2019-01-17,en,manager,active
122064,1342,2019-01-17,se,finance,deleted
122066,1004,2020-07-04,en,finance,deleted
122067,143,2019-03-26,de,master,deleted
122068,1129,2020-12-20,fr,manager,active
122071,259,2021-07-28,en,master,active
122073,1001,2020-05-25,en,finance,deleted
122074,644,2019-11-24,ua,master,active
122075,1123,2021-12-17,fr,finance,awaiting_confirmation
122077,1411,2021-03-20,no,finance,active
122079,392,2021-03-21,it,finance,deleted
122082,1116,2019-08-14,fr,finance,deleted
122083,1189,2021-11-29,fr,master,active
122086,710,2019-05-09,en,finance,active
122087,638,2021-08-26,ua,master,active
122089,992,2019-01-24,en,manager,active
122091,219,2021-11-09,ru,master,deleted
122092,23,2020-09-09,de,master,deleted
122094,702,2021-10-01,en,manager,deleted
122096,1397,2021-09-30,no,master,active
122097,304,2021-05-18,en,master,deleted
122098,887,2019-03-28,en,manager,active
122101,770,2019-04-23,en,master,deleted
122104,1405,2021-08-06,no,finance,deleted
122107,995,2019-08-08,en,master,active
122110,946,2019-03-16,en,manager,deleted
122111,946,2021-03-02,en,master,deleted
122113,1021,2020-12-25,en,finance,deleted
122116,1365,2021-07-14,no,master,deleted
122118,702,2019-01-14,en,finance,deleted
122120,822,2020-11-25,en,finance,active
122122,611,2020-07-06,ua,finance,deleted
122124,259,2021-04-21,en,finance,deleted
122126,453,2019-07-04,es,master,active
122127,318,2021-12-24,en,finance,awaiting_confirmation
122130,185,2021-12-11,ru,finance,awaiting_confirmation
122133,723,2020-10-04,en,master,deleted
122135,1351,2019-11-07,no,master,active
122138,677,2020-11-18,en,manager,active
122139,1365,2020-01-29,en,manager,active
122142,891,2019-10-29,en,manager,deleted
122143,36,2021-04-20,de,manager,deleted
122146,757,2021-09-20,en,manager,deleted
122148,763,2020-02-17,en,master,deleted
122149,1195,2021-11-06,fr,manager,active
122152,328,2020-01-27,en,master,deleted
122155,1062,2021-11-12,en,finance,deleted
122158,688,2021-02-22,en,manager,deleted
122161,297,2021-08-14,en,manager,active
122163,1251,2020-03-19,se,manager,active
122164,500,2021-08-27,ua,master,active
122165,1031,2020-10-06,en,master,deleted
122168,346,2020-07-02,it,finance,active
122169,165,2020-01-10,ru,finance,deleted
122171,1335,2019-02-16,se,manager,deleted
122173,1174,2021-05-20,fr,master,active
122175,1264,2020-11-22,se,master,deleted
122177,1015,2019-03-02,en,master,active
122179,715,2019-03-31,en,finance,active
122180,1445,2021-11-14,no,finance,deleted
122181,235,2019-03-28,ru,master,active
122182,1300,2019-09-03,se,finance,deleted
122183,979,2019-01-28,en,manager,active
122185,401,2019-02-08,it,manager,deleted
122188,279,2021-08-31,en,master,active
122189,131,2021-12-02,de,finance,awaiting_confirmation
122192,519,2020-02-08,ua,finance,deleted
122193,440,2021-04-19,es,master,active
122194,906,2019-06-07,en,master,active
122197,1054,2021-04-11,en,manager,active
122198,312,2021-12-17,en,manager,awaiting_confirmation
122200,1251,2019-11-10,se,master,deleted
122203,773,2021-02-17,en,finance,active
122206,1267,2019-09-22,se,finance,deleted
122209,1105,2020-03-13,fr,master,active
122212,1311,2020-09-23,se,finance,deleted
122215,1004,2021-06-11,en,master,deleted
122218,410,2020-11-06,es,manager,deleted
122221,876,2020-07-21,en,manager,active
122224,5,2020-02-04,de,finance,deleted
122227,1413,2020-10-04,no,finance,active
122228,263,2020-01-04,en,manager,deleted
122231,1207,2021-09-30,fr,finance,active
122232,438,2021-10-06,es,master,active
122233,1075,2019-11-05,fr,finance,deleted
122236,1066,2020-10-31,en,finance,deleted
122237,593,2019-10-14,ua,finance,deleted
122240,335,2021-10-10,it,finance,active
122243,1304,2020-02-29,se,master,deleted
122244,544,2021-03-18,ua,master,deleted
122246,1239,2019-06-23,se,master,active
122248,392,2019-03-09,it,master,active
122249,99,2019-11-17,de,master,deleted
122252,1427,2021-03-28,ru,finance,deleted
122255,992,2019-04-18,en,manager,deleted
122258,243,2021-12-11,ru,finance,awaiting_confirmation
122260,448,2021-11-05,es,finance,deleted
122262,1348,2019-04-22,no,finance,deleted
122264,773,2020-02-23,en,master,deleted
122265,828,2021-07-01,en,master,active
122266,634,2020-05-21,ua,finance,active
122269,366,2020-12-05,it,master,active
122270,504,2020-05-01,ua,manager,deleted
122272,571,2019-06-16,ua,manager,deleted
122274,898,2021-08-07,en,master,active
122275,235,2020-01-29,ru,finance,deleted
122277,115,2021-01-13,de,master,active
122279,299,2019-11-11,en,finance,deleted
122280,27,2021-09-13,de,finance,deleted
122282,397,2019-10-23,it,manager,active
122284,392,2020-07-01,it,manager,active
122285,76,2020-06-15,de,finance,deleted
122288,1079,2019-01-27,fr,finance,deleted
122289,1429,2021-02-14,no,master,active
122291,930,2019-05-05,en,master,deleted
122292,530,2021-06-17,ua,manager,deleted
122295,986,2020-05-27,en,finance,active
122297,21,2020-07-26,de,manager,deleted
122299,1376,2019-02-07,ua,manager,active
122301,1342,2019-08-21,se,manager,deleted
122302,584,2020-04-08,ua,manager,deleted
122303,1174,2021-04-18,fr,master,active
122304,738,2020-07-26,en,manager,active
122306,960,2019-10-25,en,manager,active
122307,209,2021-08-21,ru,master,active
122310,697,2021-10-19,en,master,active
122312,948,2021-09-06,en,finance,deleted
122314,1326,2021-12-14,se,manager,awaiting_confirmation
122315,285,2020-08-23,en,master,active
122316,567,2019-08-19,ua,manager,active
122318,1246,2019-03-08,se,master,deleted
122321,79,2019-08-17,de,manager,deleted
122324,69,2020-01-03,ru,finance,active
122325,934,2021-08-07,en,manager,deleted
122327,1449,2019-08-23,no,manager,active
122328,159,2021-10-09,de,master,active
122330,1322,2019-08-22,se,master,deleted
122332,948,2020-07-25,en,finance,deleted
122335,538,2019-12-25,ua,finance,deleted
122336,418,2019-06-26,es,finance,deleted
122338,547,2021-11-19,ua,master,active
122339,752,2021-03-24,en,finance,deleted
122342,460,2019-01-08,ua,master,active
122344,60,2021-05-06,de,finance,active
122345,335,2021-10-29,it,manager,active
122346,422,2020-04-27,es,manager,deleted
122348,301,2020-03-07,ru,manager,active
122350,801,2020-03-04,en,manager,active
122352,920,2020-06-29,en,master,active
122355,1105,2020-09-23,fr,master,deleted
122356,272,2020-03-07,en,master,deleted
122357,710,2019-05-10,en,master,active
122360,263,2020-01-23,en,manager,active
122361,450,2019-12-15,es,master,active
122363,450,2021-05-17,es,finance,active
122364,530,2021-03-05,ua,manager,active
122365,154,2019-07-09,de,master,active
122367,43,2020-12-13,de,manager,active
122370,852,2021-04-01,en,finance,deleted
122371,563,2019-10-13,ua,finance,active
122373,708,2019-12-10,en,finance,deleted
122376,599,2019-01-14,ua,finance,deleted
122379,67,2020-08-22,de,manager,deleted
122382,43,2019-12-27,de,master,deleted
122383,1409,2020-09-12,no,finance,active
122384,1405,2021-01-16,no,master,deleted
122386,861,2020-11-26,en,manager,active
122389,1056,2019-11-07,en,manager,active
122392,781,2021-03-19,en,finance,deleted
122395,816,2021-09-29,en,master,active
122396,613,2021-07-06,ua,finance,deleted
122398,789,2019-05-07,en,finance,active
122401,1237,2021-01-12,se,finance,deleted
122403,1129,2021-06-24,fr,manager,deleted
122405,147,2020-06-10,de,manager,active
122408,1300,2020-08-19,se,finance,deleted
122409,934,2020-06-19,en,manager,deleted
122412,1031,2021-08-04,en,finance,deleted
122414,752,2021-01-23,en,finance,active
122416,887,2020-08-16,en,finance,deleted
122417,366,2019-03-20,it,finance,deleted
122418,1142,2021-11-29,fr,manager,deleted
122419,368,2021-01-22,it,master,active
122421,309,2019-09-07,en,master,active
122423,1393,2021-04-24,no,manager,active
122426,1435,2019-10-22,no,finance,active
122429,335,2021-03-25,it,manager,active
122431,1416,2021-08-06,no,manager,deleted
